iter	RMSE
0	2.355378528
1	2.354556435
2	2.351446431
3	2.349380392
4	2.347095143
5	2.344106496
6	2.340004984
7	2.336979377
8	2.335707014
9	2.333331415
10	2.331756608
11	2.328228574
12	2.326325796
13	2.324884525
14	2.323239499
15	2.321670132
16	2.318435924
17	2.31647543
18	2.313950708
19	2.312262207
20	2.310687423
21	2.308231981
22	2.306192927
23	2.304690074
24	2.302341944
25	2.301695334
26	2.299190153
27	2.297610718
28	2.296424412
29	2.294923311
30	2.292390935
31	2.291641778
32	2.288270936
33	2.286444214
34	2.285969444
35	2.283190483
36	2.280051495
37	2.278654724
38	2.275094987
39	2.27305188
40	2.27219599
41	2.270164406
42	2.268873804
43	2.267100707
44	2.265579208
45	2.264100775
46	2.262034115
47	2.261181634
48	2.258965725
49	2.257800752
50	2.256259533
51	2.254980204
52	2.254193554
53	2.253472446
54	2.252283166
55	2.249798272
56	2.248356233
57	2.245420021
58	2.242764728
59	2.241005302
60	2.238335402
61	2.235989037
62	2.234190424
63	2.231773485
64	2.230558734
65	2.228977174
66	2.227894592
67	2.225607266
68	2.223706186
69	2.22162617
70	2.219368785
71	2.217657029
72	2.216273548
73	2.215268625
74	2.213750464
75	2.212957244
76	2.211442104
77	2.210430046
78	2.208585254
79	2.207512038
80	2.206372274
81	2.2063185
82	2.204175552
83	2.202847497
84	2.200057385
85	2.198355154
86	2.197310797
87	2.195898171
88	2.194700776
89	2.192758589
90	2.191456838
91	2.190482195
92	2.189504484
93	2.188624076
94	2.188018598
95	2.186514316
96	2.185497636
97	2.183959174
98	2.182692602
99	2.182139973
100	2.179808965
101	2.17834771
102	2.176416966
103	2.175076286
104	2.173634208
105	2.172738117
106	2.171564882
107	2.169146616
108	2.168009006
109	2.165751106
110	2.163365195
111	2.162116139
112	2.160566235
113	2.159198268
114	2.157295318
115	2.156016765
116	2.153739515
117	2.152657549
118	2.151844207
119	2.151378824
120	2.150556224
121	2.148808537
122	2.147228718
123	2.145870659
124	2.144898029
125	2.143477173
126	2.142426644
127	2.140756636
128	2.139438111
129	2.136360119
130	2.134358238
131	2.133186648
132	2.131356885
133	2.129428696
134	2.127617342
135	2.126791936
136	2.12621198
137	2.1246931
138	2.123743997
139	2.122544032
140	2.121656457
141	2.120796011
142	2.119204604
143	2.118560917
144	2.116941448
145	2.116115884
146	2.115396904
147	2.113552604
148	2.111942379
149	2.111059006
150	2.108194678
151	2.107440825
152	2.106000586
153	2.1043053
154	2.103275309
155	2.102634849
156	2.099890737
157	2.09907225
158	2.0973459
159	2.09459473
160	2.093332314
161	2.092759558
162	2.09023788
163	2.089111314
164	2.087463852
165	2.086503939
166	2.08539851
167	2.083547149
168	2.082733925
169	2.081719247
170	2.080798832
171	2.079509225
172	2.077865875
173	2.076169303
174	2.075315791
175	2.072970335
176	2.072000465
177	2.069154395
178	2.067953867
179	2.066580144
180	2.065716295
181	2.063815434
182	2.063219304
183	2.062024716
184	2.061089362
185	2.060518605
186	2.059080066
187	2.057921975
188	2.056580381
189	2.054225173
190	2.053291595
191	2.050982907
192	2.049181705
193	2.047700615
194	2.046358533
195	2.044529915
196	2.043519053
197	2.04194748
198	2.040315732
199	2.038945513
200	2.037032433
201	2.036365298
202	2.035575921
203	2.034163522
204	2.03241931
205	2.030650511
206	2.029485827
207	2.027994093
208	2.027080261
209	2.025423603
210	2.024358138
211	2.022280239
212	2.020620395
213	2.018711452
214	2.016891344
215	2.014722143
216	2.012569123
217	2.010572573
218	2.009083215
219	2.006472589
220	2.004699508
221	2.001945429
222	2.000523683
223	1.999749261
224	1.99900114
225	1.998233409
226	1.997426908
227	1.995541617
228	1.994470609
229	1.992783418
230	1.991337545
231	1.989863617
232	1.988947362
233	1.987489417
234	1.986209339
235	1.984339435
236	1.98288173
237	1.98043226
238	1.978827808
239	1.976661855
240	1.975603803
241	1.974007795
242	1.973340672
243	1.971785554
244	1.970635324
245	1.969597789
246	1.968347483
247	1.966808872
248	1.965982186
249	1.96537496
250	1.962409267
251	1.96069368
252	1.95993158
253	1.958758908
254	1.957434974
255	1.956605823
256	1.955371124
257	1.954210124
258	1.953515647
259	1.952054886
260	1.950894189
261	1.949503309
262	1.94805657
263	1.946100843
264	1.944847012
265	1.943868119
266	1.942630576
267	1.941319624
268	1.939921877
269	1.937242114
270	1.93619035
271	1.935059509
272	1.934155481
273	1.933188496
274	1.932305627
275	1.931373619
276	1.929423273
277	1.928764311
278	1.927920195
279	1.926812852
280	1.926182323
281	1.925283484
282	1.924124626
283	1.923119372
284	1.922211687
285	1.921269077
286	1.920300436
287	1.91702508
288	1.91623052
289	1.915673014
290	1.914899342
291	1.91383984
292	1.911010426
293	1.909974375
294	1.90931654
295	1.908579412
296	1.907708939
297	1.907015028
298	1.906020483
299	1.905200577
300	1.904181486
301	1.901513088
302	1.900776586
303	1.900035965
304	1.899225121
305	1.898713105
306	1.898017965
307	1.897331265
308	1.89696787
309	1.896400447
310	1.895771597
311	1.895311708
312	1.892573745
313	1.891465813
314	1.890861584
315	1.888329606
316	1.88654791
317	1.885901949
318	1.88548476
319	1.88395732
