iter	Passed	Remaining
0	0	877
1	2	1232
2	4	1486
3	5	1387
4	6	1307
5	7	1255
6	8	1255
7	9	1201
8	10	1183
9	11	1159
10	12	1116
11	14	1176
12	14	1134
13	19	1374
14	20	1348
15	21	1326
16	22	1300
17	23	1284
18	24	1270
19	26	1321
20	28	1325
21	29	1316
22	30	1299
23	31	1284
24	32	1272
25	33	1258
26	36	1299
27	37	1290
28	38	1281
29	39	1282
30	40	1275
31	41	1270
32	43	1262
33	44	1259
34	44	1240
35	46	1257
36	48	1266
37	49	1259
38	50	1250
39	51	1244
40	52	1239
41	53	1230
42	54	1221
43	55	1215
44	57	1210
45	58	1203
46	59	1205
47	60	1202
48	61	1198
49	63	1197
50	63	1189
51	64	1184
52	66	1179
53	69	1222
54	70	1211
55	71	1210
56	72	1203
57	74	1202
58	75	1196
59	76	1193
60	77	1187
61	78	1180
62	79	1184
63	80	1179
64	81	1174
65	82	1168
66	84	1180
67	85	1174
68	86	1170
69	87	1167
70	88	1161
71	89	1158
72	90	1153
73	91	1149
74	92	1146
75	94	1151
76	96	1160
77	97	1156
78	98	1152
79	99	1148
80	100	1141
81	101	1139
82	103	1139
83	106	1164
84	108	1167
85	109	1163
86	110	1159
87	111	1156
88	112	1151
89	113	1148
90	114	1145
91	117	1156
92	118	1151
93	118	1146
94	119	1142
95	121	1139
96	122	1136
97	123	1132
98	124	1128
99	127	1143
100	129	1152
101	130	1149
102	131	1146
103	132	1140
104	133	1137
105	134	1135
106	135	1133
107	136	1128
108	138	1131
109	139	1130
110	140	1125
111	141	1123
112	142	1120
113	143	1117
114	144	1115
115	145	1112
116	146	1108
117	147	1106
118	148	1102
119	149	1099
120	151	1099
121	152	1097
122	153	1094
123	154	1090
124	155	1088
125	156	1088
126	157	1085
127	159	1083
128	159	1080
129	161	1083
130	164	1091
131	165	1089
132	166	1088
133	168	1087
134	171	1101
135	172	1098
136	175	1104
137	176	1102
138	177	1099
139	178	1098
140	179	1095
141	180	1092
142	181	1089
143	182	1087
144	184	1085
145	185	1083
146	187	1090
147	189	1089
148	190	1085
149	191	1082
150	192	1080
151	193	1082
152	194	1077
153	195	1072
154	196	1072
155	197	1070
156	199	1072
157	200	1070
158	201	1067
159	202	1065
160	203	1061
161	204	1058
162	209	1078
163	212	1082
164	214	1083
165	215	1080
166	216	1078
167	217	1075
168	218	1072
169	219	1072
170	220	1071
171	222	1070
172	223	1067
173	224	1065
174	225	1063
175	226	1061
176	227	1059
177	228	1056
178	229	1053
179	230	1052
180	232	1053
181	233	1051
182	235	1049
183	236	1047
184	237	1044
185	238	1043
186	239	1041
187	240	1037
188	245	1052
189	247	1055
190	248	1053
191	249	1051
192	250	1048
193	251	1045
194	252	1042
195	253	1039
196	254	1037
197	255	1036
198	257	1034
199	258	1032
200	259	1029
201	259	1026
202	261	1024
203	261	1022
204	262	1019
205	263	1016
206	264	1014
207	266	1012
208	267	1012
209	268	1011
210	269	1008
211	270	1006
212	271	1003
213	272	1001
214	273	999
215	274	997
216	275	995
217	282	1012
218	283	1011
219	284	1009
220	285	1006
221	286	1004
222	287	1002
223	288	1000
224	289	998
225	290	995
226	291	993
227	294	995
228	295	993
229	296	991
230	296	988
231	298	986
232	299	984
233	300	982
234	301	980
235	302	978
236	303	975
237	304	973
238	304	971
239	306	971
240	307	969
241	308	966
242	309	965
243	310	963
244	312	961
245	313	960
246	314	958
247	315	956
248	316	953
249	317	951
250	318	949
251	319	947
252	320	945
253	321	943
254	322	942
255	323	939
256	324	938
257	325	936
258	326	934
259	330	941
260	332	940
261	333	938
262	334	936
263	335	935
264	336	933
265	337	932
266	338	930
267	339	928
268	340	926
269	342	926
270	343	924
271	344	922
272	345	920
273	346	918
274	347	916
275	348	914
276	349	912
277	350	910
278	351	908
279	352	906
280	353	904
281	354	902
282	355	901
283	357	900
284	357	897
285	358	895
286	359	893
287	360	892
288	361	890
289	362	888
290	363	886
291	364	884
292	365	883
293	367	881
294	368	880
295	369	878
296	370	876
297	371	875
298	372	873
299	373	871
300	374	869
301	375	867
302	376	866
303	377	864
304	378	863
305	379	861
306	380	859
307	382	859
308	383	858
309	386	860
310	387	858
311	388	856
312	389	855
313	390	853
314	391	851
315	392	850
316	393	848
317	396	849
318	397	847
319	398	846
320	399	845
321	400	843
322	401	841
323	402	839
324	403	838
325	405	837
326	406	835
327	407	835
328	408	833
329	409	831
330	410	829
331	411	828
332	412	827
333	413	825
334	415	824
335	416	823
336	418	822
337	418	820
338	419	818
339	420	816
340	421	815
341	422	813
342	424	812
343	425	810
344	426	809
345	427	807
346	428	806
347	429	805
348	431	804
349	432	802
350	433	800
351	434	799
352	435	797
353	435	795
354	436	793
355	437	791
356	438	790
357	439	788
358	441	788
359	442	786
360	443	784
361	444	782
362	444	780
363	445	779
364	446	777
365	447	775
366	448	774
367	449	772
368	450	770
369	451	769
370	453	768
371	454	766
372	455	765
373	456	763
374	457	761
375	458	760
376	459	758
377	460	757
378	461	756
379	462	754
380	464	754
381	465	753
382	466	751
383	467	749
384	468	748
385	469	746
386	470	745
387	471	743
388	472	741
389	473	740
390	474	738
391	475	737
392	476	735
393	477	734
394	478	733
395	479	731
396	480	729
397	481	728
398	482	726
399	483	725
400	484	723
401	485	722
402	486	721
403	487	719
404	490	719
405	491	718
406	492	716
407	492	715
408	493	713
409	494	711
410	495	710
411	496	708
412	498	707
413	498	706
414	499	704
415	500	702
416	502	701
417	503	700
418	504	699
419	505	697
420	506	696
421	507	694
422	508	693
423	509	691
424	509	689
425	510	688
426	511	686
427	512	685
428	513	683
429	514	682
430	515	680
431	516	679
432	517	677
433	518	676
434	519	674
435	520	673
436	521	671
437	523	671
438	524	670
439	525	669
440	528	669
441	529	668
442	530	667
443	531	665
444	532	664
445	533	663
446	534	661
447	535	660
448	536	658
449	537	657
450	538	655
451	539	654
452	540	652
453	541	651
454	542	650
455	543	648
456	544	647
457	545	645
458	546	644
459	547	642
460	548	641
461	549	639
462	550	638
463	551	636
464	553	637
465	555	636
466	556	635
467	557	633
468	558	632
469	559	630
470	560	629
471	561	628
472	562	626
473	564	626
474	566	625
475	567	624
476	568	622
477	569	621
478	570	620
479	571	619
480	572	618
481	573	616
482	575	615
483	576	614
484	577	613
485	578	612
486	579	610
487	580	609
488	581	607
489	582	606
490	583	605
491	584	603
492	585	602
493	586	600
494	587	599
495	590	599
496	591	598
497	592	596
498	592	595
499	593	593
500	594	592
501	595	590
502	596	589
503	597	587
504	598	586
505	599	585
506	600	583
